MOTOR,WM,EMOTION,GAMBLING,LANGUAGE,RELATIONAL,SOCIAL
5.176991150442478151e-01,2.743362831858406903e-01,1.740412979351032563e-01,3.215339233038347899e-01,1.504424778761062065e-01,1.651917404129793487e-01,1.445427728613569440e-01
2.330383480825958809e-01,5.103244837758111885e-01,2.138643067846607848e-01,3.584070796460177011e-01,1.828908554572271361e-01,3.112094395280236014e-01,1.519174041297935152e-01
2.050147492625368773e-01,2.846607669616518788e-01,4.941002949852507653e-01,2.699115044247787365e-01,2.566371681415929307e-01,3.834808259587020318e-01,3.584070796460177011e-01
2.758112094395280267e-01,4.882005899705014196e-01,2.654867256637167827e-01,6.047197640117993878e-01,2.079646017699114946e-01,3.067846607669616477e-01,2.241887905604719733e-01
1.843657817109144448e-01,2.389380530973451433e-01,2.448377581120944058e-01,2.374631268436578069e-01,7.123893805309734484e-01,2.876106194690265516e-01,2.094395280235988310e-01
1.430678466076696354e-01,3.834808259587020318e-01,2.758112094395280267e-01,2.920353982300885054e-01,2.920353982300885054e-01,6.637168141592919568e-01,3.023598820058996939e-01
1.725663716814159199e-01,2.212389380530973559e-01,3.067846607669616477e-01,2.713864306784660729e-01,3.067846607669616477e-01,3.761061946902655162e-01,7.404129793510324520e-01
