subject,intelligence_composite,self_identifiability,identified_correctly
219,-1.3449,6.1806,1
220,-0.7970,8.4935,1
221,-0.1502,8.1345,1
222,-1.2208,10.0390,1
223,-0.3011,8.9222,1
224,-0.5220,5.6377,1
225,-0.5975,10.7541,1
226,-1.6655,8.0514,1
227,0.0454,7.5225,1
228,-1.8202,6.7593,1
229,0.0185,3.7621,1
230,0.3227,8.9587,1
231,1.0141,3.8887,0
232,-1.4802,9.1319,1
233,0.1960,7.7682,1
234,-0.3326,10.1151,1
235,0.1476,4.3821,1
236,-1.9505,12.9672,1
237,1.1708,6.8731,1
238,-0.0080,10.3326,1
239,0.6584,8.4468,1
240,0.8344,5.6270,1
241,-0.5721,1.8365,0
242,-0.1812,5.2732,1
243,0.3445,6.4761,1
244,0.5255,7.6395,1
245,-1.4342,-0.6048,0
246,-1.3143,9.1019,1
247,0.0877,9.3950,1
248,0.0462,7.6718,1
249,0.6039,6.7330,1
250,1.3963,4.9351,1
251,-1.0332,0.7865,0
252,0.5670,12.1677,1
253,-0.2865,10.0730,1
254,0.4103,9.1212,1
255,0.5348,7.4482,1
256,-1.1668,8.5196,1
257,-0.1574,4.5064,1
258,0.2251,6.4545,1
259,0.5117,10.2172,1
260,0.0001,5.0763,1
261,-0.1359,6.9166,1
262,0.0631,6.7932,1
263,-0.3811,10.3935,1
264,0.4694,9.0100,1
265,0.3499,7.5313,1
266,-0.1105,4.3610,1
267,0.5001,6.2785,1
268,-0.2312,9.7556,1
269,0.9911,10.4286,1
270,0.3135,4.5194,1
271,-0.7651,8.4399,1
272,0.5209,8.1673,1
273,0.1430,8.8484,1
274,0.2351,6.5068,1
275,-0.5123,7.3443,1
276,-1.9597,8.2161,1
277,1.0832,5.9017,1
278,0.9818,11.6809,1
279,-1.6240,9.7368,1
280,0.7606,6.9906,1
281,0.6361,8.8981,1
282,-0.2365,6.8656,1
283,1.1478,9.9039,1
284,-0.1759,5.6731,1
285,0.4379,7.7688,1
286,0.3181,7.3317,1
287,-1.1200,7.2902,1
288,-1.2856,3.7360,0
289,0.7843,5.4717,1
290,0.4564,10.7787,1
291,-0.2304,8.6112,1
292,-0.6649,8.5779,1
293,0.1599,9.8471,1
294,0.3458,6.7144,1
295,0.0454,0.5672,0
296,-0.0737,6.6715,1
297,-0.5216,11.2862,1
298,1.0371,5.9748,1
299,-0.5393,10.8739,1
300,-0.6460,4.5466,1
301,-1.2856,4.7333,1
302,-0.6742,10.7557,1
303,-0.9548,5.3260,1
304,-0.2220,9.0430,1
305,-0.7796,1.5388,0
306,-0.9879,7.5242,1
307,-0.4889,7.6038,1
308,0.6039,0.0581,0
309,0.3458,5.6266,1
310,1.0924,7.1845,1
311,1.0049,0.6438,0
312,0.9680,11.1700,1
313,0.5058,6.8236,1
314,-0.1897,11.1366,1
315,0.5478,12.3463,1
316,-0.0936,9.3483,1
317,-0.3741,6.8845,1
318,1.0141,6.0337,1
319,0.5117,4.0648,0
320,-1.3804,5.8288,1
321,-0.8220,9.5324,1
322,0.6777,8.7792,1
323,0.9035,6.7544,1
324,0.1844,9.2363,1
325,-0.4425,6.0144,1
326,0.0761,10.6728,1
327,1.1155,8.7164,1
328,0.0954,9.3580,1
329,0.9678,7.3793,1
330,0.4794,8.1782,1
331,-0.4432,9.3049,1
332,-0.0837,6.3148,1
333,0.0796,8.6010,1
334,0.2444,6.5287,1
335,0.3030,6.8039,1
336,0.9068,9.6011,1
337,0.1983,10.6961,1
338,-0.3694,7.3709,1
