region,network,x,y,z,accuracy,idiff
L_44,Frontopariet,-50.507,15.363,11.899,0.7434,0.53675
L_45,Default,-47.485,27.036,3.082,0.8481,0.56811
L_47l,Posterior-Mu,-44.047,30.884,-10.415,0.8850,0.57685
L_a47r,Frontopariet,-38.976,45.736,-9.854,0.7950,0.55022
L_6r,Cingulo-Oper,-51.221,5.582,16.469,0.6460,0.47151
L_IFJa,Default,-39.216,11.814,24.610,0.5324,0.30988
L_IFJp,Frontopariet,-39.167,2.981,27.553,0.5590,0.35787
L_IFSp,Frontopariet,-44.126,20.860,21.036,0.5708,0.36520
L_IFSa,Cingulo-Oper,-43.325,30.579,12.265,0.6445,0.46388
L_p9-46v,Frontopariet,-42.876,28.853,27.023,0.6283,0.39094
L_46,Cingulo-Oper,-36.038,35.187,28.753,0.6372,0.39622
L_a9-46v,Frontopariet,-36.827,47.204,8.785,0.6150,0.43827
L_9-46d,Cingulo-Oper,-28.165,41.778,21.759,0.6195,0.40095
L_9a,Posterior-Mu,-19.598,52.958,24.354,0.5914,0.33526
L_10v,Posterior-Mu,-4.307,48.329,-18.676,0.6032,0.39147
L_a10p,Frontopariet,-24.979,54.339,-4.462,0.6106,0.40730
L_10pp,Posterior-Mu,-12.750,57.832,-14.948,0.6136,0.37095
L_11l,Frontopariet,-24.844,43.954,-13.301,0.6652,0.42401
L_13l,Frontopariet,-22.447,26.938,-18.296,0.7065,0.52952
L_OFC,Frontopariet,-11.059,30.186,-22.249,0.6637,0.48305
L_47s,Posterior-Mu,-31.404,20.479,-17.513,0.8245,0.56722
L_LIPd,Language,-28.655,-54.863,40.753,0.5147,0.24879
L_6a,Language,-24.398,-3.388,52.313,0.5192,0.28553
L_i6-8,Frontopariet,-30.531,7.397,52.287,0.5796,0.31724
L_s6-8,Frontopariet,-22.182,21.394,54.337,0.5841,0.34536
L_43,Cingulo-Oper,-56.346,-1.197,8.680,0.6239,0.41962
L_OP4,Somatomotor,-57.954,-13.246,14.344,0.5900,0.40725
L_OP1,Somatomotor,-46.683,-22.297,17.868,0.4764,0.23224
L_OP2-3,Somatomotor,-39.488,-16.752,17.266,0.5147,0.22925
